Date,Brand,20 Days Moving NS,BW_Vol,BW_NVol
2020-09-15,Starbucks,-0.32937268835,16099,-1.7675737893611774
2020-09-14,Starbucks,-0.19595122950000005,11482,-1.862472251911535
2020-09-13,Starbucks,-0.16091523925,10316,-1.886438378689468
2020-09-12,Starbucks,-0.06284905280000001,10475,-1.883170270492477
2020-09-11,Starbucks,-0.040142227450000005,12199,-1.8477349338156706
2020-09-10,Starbucks,0.01285586504999997,10783,-1.8768395954945325
2020-09-09,Starbucks,0.03951557984999997,8041,-1.9331990462879225
2020-09-08,Starbucks,-0.03449833900000003,8641,-1.9208665625256927
2020-09-07,Starbucks,-0.10941027890000003,10325,-1.8862533914330346
2020-09-06,Starbucks,0.01139740914999996,15900,-1.7716640631423168
2020-09-05,Starbucks,-0.012997858349999988,8508,-1.923600263092987
2020-09-04,Starbucks,-0.18499945565,10182,-1.889192633396366
2020-09-03,Starbucks,-0.38712096185,17516,-1.7384485735427115
2020-09-02,Starbucks,-0.35757656655000003,12516,-1.8412192715612925
2020-09-01,Starbucks,-0.30207266605000005,12250,-1.8466866726958808
2020-08-31,Starbucks,-0.27117196655,11316,-1.865884239085752
2020-08-30,Starbucks,-0.30672918220000006,8249,-1.9289237852503494
2020-08-29,Starbucks,-0.308908018,7125,-1.9520266381649265
2020-08-28,Starbucks,-0.12981691920000005,8716,-1.919325002055414
2020-08-27,Starbucks,-0.025042831000000022,10157,-1.889706486886459
2020-08-26,Starbucks,0.0006858569500000023,15125,-1.787593521335197
2020-08-25,Starbucks,0.017934096950000044,30949,-1.462344816245992
2020-08-24,Starbucks,-0.021549547449999994,8791,-1.9177834415851351
2020-08-23,Starbucks,-0.08580512654999997,10099,-1.8908986269834744
2020-08-22,Starbucks,-0.04124495695,9966,-1.8936323275507687
2020-08-21,Starbucks,-0.028061243399999946,8641,-1.9208665625256927
2020-08-20,Starbucks,-0.0030008260500000083,12541,-1.8407054180711995
2020-08-19,Starbucks,0.058410483699999946,13274,-1.8256392337416756
2020-08-18,Starbucks,0.10760148084999999,16016,-1.7692797829482858
2020-08-17,Starbucks,-0.01270722154999998,8382,-1.926190084683055
2020-08-16,Starbucks,-0.010396560599999976,15216,-1.7857230946312588
2020-08-15,Starbucks,0.09532679849999999,16157,-1.7663816492641617
2020-08-14,Starbucks,0.13450622474999993,6733,-1.9600838608895832
2020-08-13,Starbucks,0.0770464625499999,8899,-1.915563594507934
2020-08-12,Starbucks,0.06157892849999993,7641,-1.9414207021294088
2020-08-11,Starbucks,0.07074173654999996,7633,-1.9415851352462385
2020-08-10,Starbucks,0.04643860689999992,8382,-1.926190084683055
2020-08-09,Starbucks,0.04667309975000002,39682,-1.2828455150867386
2020-08-08,Starbucks,-0.04187511825000001,14316,-1.8042218202746034
2020-08-07,Starbucks,-0.05761719765000002,8416,-1.9254912439365288
2020-08-06,Starbucks,-0.10909247549999998,6750,-1.95973444051632
2020-08-05,Starbucks,-0.16586898395,7033,-1.9539176190084684
2020-08-04,Starbucks,-0.16019449994999996,8266,-1.9285743648770863
2020-08-03,Starbucks,-0.09557817205000005,8249,-1.9289237852503494
2020-08-02,Starbucks,-0.1369507375,7425,-1.9458603962838115
2020-08-01,Starbucks,-0.16031942790000003,7107,-1.9523966126777934
2020-07-31,Starbucks,-0.29710485685,7850,-1.9371248869522322
2020-07-30,Starbucks,-0.51952601185,8733,-1.9189755816821508
2020-07-29,Starbucks,-0.59290542005,8732,-1.9189961358217544
2020-07-28,Starbucks,-0.6353277052000001,11133,-1.8696456466332319
2020-07-27,Starbucks,-0.7747197261500001,14191,-1.806791087725068
2020-07-26,Starbucks,-0.8542613300500002,17349,-1.741881114856532
2020-07-25,Starbucks,-0.8245273133,9816,-1.8967154484913262
2020-07-24,Starbucks,-0.84046804385,7566,-1.9429622625996876
2020-07-23,Starbucks,-0.81705546295,9949,-1.893981747924032
2020-07-22,Starbucks,-0.9081938775999999,12266,-1.8463578064622215
2020-07-21,Starbucks,-0.8293574585499999,9991,-1.893118474060676
